,author,title,keywords,abstract,year,type_publication,doi
389,"McMorran, A. W. and Rudd, S. E. and Shand, C. M. and Simmins, J. J. and McCollough, N. and Stewart, E. M.",Data integration challenges for standards-compliant mobile applications,Computer integrated manufacturing;Mobile communication;IEC standards;Logic gates;Servers;Data models;Asset management;Application virtualization;Virtual reality;Visualization;Standards;Data handling;Data visualization;CIM;Data integration;Big Data,"Modern mobile devices are capable of running sophisticated, network-enabled applications exploiting a variety of sensors on a single low-cost piece of hardware. The electrical industry can benefit from these new platforms to automate existing processes and provide engineers and field crew with access to large amounts of complex data in real-time, anywhere in the world. The development of a standards-based application decouples the mobile client application from a single vendor or existing enterprise system, but requires a complex data integration architecture to support the use and exploitation of large amounts of data spread across multiple existing systems. The integration with a mobile application introduces new challenges when dealing with remote devices where data network communications cannot be relied on, especially under storm conditions, and the devices themselves are at risk of being lost or stolen. Addressing these challenges offers the potential to improve data quality, enable access to accurate, up-to-date information in the field and ultimately save a utility time and money.",2014,,10.1109/TDC.2014.6863306
390,"Pan, Yongsheng and Liu, Mingxia and Lian, Chunfeng and Xia, Yong and Shen, Dinggang",Spatially-Constrained Fisher Representation for Brain Disease Identification With Incomplete Multi-Modal Neuroimages,Magnetic resonance imaging;Feature extraction;Diseases;Positron emission tomography;Medical diagnosis;Brain modeling;Deep learning;Multi-modal neuroimage;incomplete data;generative adversarial network;fisher vector;brain disease diagnosis;MRI;PET,"Multi-modal neuroimages, such as magnetic resonance imaging (MRI) and positron emission tomography (PET), can provide complementary structural and functional information of the brain, thus facilitating automated brain disease identification. Incomplete data problem is unavoidable in multi-modal neuroimage studies due to patient dropouts and/or poor data quality. Conventional methods usually discard data-missing subjects, thus significantly reducing the number of training samples. Even though several deep learning methods have been proposed, they usually rely on pre-defined regions-of-interest in neuroimages, requiring disease-specific expert knowledge. To this end, we propose a spatially-constrained Fisher representation framework for brain disease diagnosis with incomplete multi-modal neuroimages. We first impute missing PET images based on their corresponding MRI scans using a hybrid generative adversarial network. With the complete (after imputation) MRI and PET data, we then develop a spatially-constrained Fisher representation network to extract statistical descriptors of neuroimages for disease diagnosis, assuming that these descriptors follow a Gaussian mixture model with a strong spatial constraint (i.e., images from different subjects have similar anatomical structures). Experimental results on three databases suggest that our method can synthesize reasonable neuroimages and achieve promising results in brain disease identification, compared with several state-of-the-art methods.",2020,,10.1109/TMI.2020.2983085
391,"Song, Guanli and Wang, Yinghui and Zhang, Runshun and Liu, Baoyan and Zhou, Xuezhong and Song, Guanbo and Xie, Liang and Huang, Xinghuan",Methods and technologies of traditional Chinese medicine clinical information datamation in real world,Medical diagnostic imaging;Clinical diagnosis;Electronic medical records;History;Maintenance engineering;Discharges (electric);Hospitals;traditional Chinese Medicine (TCM);clinical research paradigm;clinical research information sharing system;datamation;structured electronic medical record,"Under the guidance of clinical research paradigm of traditional Chinese medicine (TCM) in real world, the research group developed the clinical research information sharing system, in which structured electronic medical record system of traditional Chinese medicine is the technology platform of datamation of clinical diagnosis and treatment information. The clinical diagnosis and treatment information can be activated and used effectively only after datamation and truly become the treasures of knowledge of TCM. This paper discusses the implementation process and technologies and methods of TCM clinical information datamation, and take admission records as an example to demonstrate the contents and realization way of datamation, and a brief introduction of the effect of implementation and application of datamation. By making full use of technologies and methods of datamation, strengthening data quality control in the datamation process, greatly improving the quality of TCM clinical research data, to lay a good foundation for establishment of knowledge base through further statistical analysis or data mining of TCM clinical data.",2014,,10.1109/CIBD.2014.7011533
392,"Ren, Lei and Meng, Zihao and Wang, Xiaokang and Lu, Renquan and Yang, Laurence T.",A Wide-Deep-Sequence Model-Based Quality Prediction Method in Industrial Process Analysis,Feature extraction;Predictive models;Data models;Quality assessment;Product design;Data mining;Analytical models;Industrial artificial intelligence (AI);industrial big data;Industrial Internet of Things;product quality prediction;wide-deep-sequence (WDS) model,"Product quality prediction, as an important issue of industrial intelligence, is a typical task of industrial process analysis, in which product quality will be evaluated and improved as feedback for industrial process adjustment. Data-driven methods, with predictive model to analyze various industrial data, have been received considerable attention in recent years. However, to get an accurate prediction, it is an essential issue to extract quality features from industrial data, including several variables generated from supply chain and time-variant machining process. In this article, a data-driven method based on wide-deep-sequence (WDS) model is proposed to provide a reliable quality prediction for industrial process with different types of industrial data. To process industrial data of high redundancy, in this article, data reduction is first conducted on different variables by different techniques. Also, an improved wide-deep (WD) model is proposed to extract quality features from key time-invariant variables. Meanwhile, an long short-term memory (LSTM)-based sequence model is presented for exploring quality information from time-domain features. Under the joint training strategy, these models will be combined and optimized by a designed penalty mechanism for unreliable predictions, especially on reduction of defective products. Finally, experiments on a real-world manufacturing process data set are carried out to present the effectiveness of the proposed method in product quality prediction.",2020,,10.1109/TNNLS.2020.3001602
393,"Finkelstein, Joseph and Jeong, In Cheol",Using CART for advanced prediction of asthma attacks based on telemonitoring data,Medical treatment;Diseases;Prediction algorithms;Predictive models;Pediatrics;Monitoring;Big data analytics;artificial intelligence;asthma;telemonitoring;exacerbation prediction,"Advanced prediction of asthma exacerbations may significantly improve patient quality of life and reduce costs of urgent care delivery. Majority of current algorithms predict who is likely to experience asthma exacerbation rather than when it is about to occur. We used data from asthma home-based telemonitoring for advanced prediction of asthma exacerbation. The goal of this project was to develop an algorithm that predicts asthma exacerbation one day in advance based on previous 7-day window. CART was used for predictive modeling. Resulting algorithm had specificity 0.971, sensitivity of 0.647, and accuracy of 0.809. We concluded that machine learning has great potential for advanced prediction of chronic disease exacerbations based on home telemonitoring data.",2016,,10.1109/UEMCON.2016.7777890
394,"Lu, Tielin and Fan, Zitian and Lei, Yue and Shang, Yujia and Wang, Chunxi",The Edge Computing Cloud Architecture Based on 5G Network for Industrial Vision Detection,Industries;Cloud computing;Visualization;5G mobile communication;Wireless networks;Data integrity;Computer architecture;5G network;vision detection;communication structure;edge computing;information systems,"The emergence of a large number of real-time data putforward higher requirements on network transmission technology. The new edge computing cloud technology based on 5G network has become an important research direction of vision detection. However, for the industrial users, they still confuse the architecture of the non-public 5G network (NPN) and misunderstand the data quality of service (QOS). In order to overcome the unstable network structure of 5G for vision detection in industry in a limited bandwidth, achieve high-quality transmission of detection image, and obtain intelligent optimal results, has become an urgent problem to be solved. This paper proposes the network configuration and mode, also design a intelligent edge computing cloud based on 5G scheme. In the ends, an vision detection architecture case has been developed on the 5G communication structure and verified visual detection application scene design its feasibility purpose in the wireless network.",2021,,10.1109/ICBDA51983.2021.9402999
395,"Yu, Han and Hanafy, Sherif M. and Liu, Lulu",A Weighted Closure-Phase Statics Correction Method: Synthetic and Field Data Examples,Receivers;Mathematical models;Surface treatment;Sea surface;Indexes;Earth;Computational modeling;Statics;closure phase;first arrivals;interferometry,"Recorded seismograms are usually distorted by statics owing to complex geological conditions, such as lateral variations in sediment thickness or complex topographies. These distorted and discontinuous signals usually exist in either arrival times or amplitudes of waves, and they are mostly likely to be smeared as velocity perturbations along their associated raypaths. Therefore, statics may blur images of the target bodies, or even worse, introduce unexpected and false anomalies into subsurface structures. To partly resolve this problem, we develop a weighted statics correction method to estimate unwanted temporal shifts of traces using the closure-phase technique which is utilized in astronomical imaging. In the proposed method, the source and the receiver statics are regarded as independent quantities contributing to the waveform shifts based on their acquisition geometries. Numerical tests on both the synthetic and field cases show noticeable, although gradual, improvements of data quality compared to the conventional Plus-Minus method. In general, this method provides a straightforward strategy to reedit the traveltimes in seismic profiles without inverting for a near-surface velocity model. Moreover, it can be extended to any interferometrical methods in seismic data processing that satisfy the closure-phase conditions.",2022,,10.1109/TGRS.2022.3169519
396,"Zhang, Yang and Wang, Dong",Poster: On Cost-Sensitive Task Allocation in Social Sensing: An Online Learning Approach,Sensors;Task analysis;Resource management;Real-time systems;Big Data;Dynamic scheduling;Air quality;Social Sensing;Task Allocation;Online Learning,"Social sensing has emerged as a new sensing paradigm where human sensors collectively report measurements about the physical world. This paper focuses on the cost-sensitive task allocation problem in social sensing where the goal is to effectively allocate sensing tasks to the human sensors to meet the desirable data quality requirement of the applications while minimizing the sensing cost. While recent progress has been made to tackle the cost-sensitive task allocation problem, an important challenge has not been well addressed, namely ""real time task allocation"", the task allocation schemes need to respond quickly to the potential large dynamics of the measured variables in social sensing. To address this challenge, this paper presents a Cost-Sensitive Task Allocation (CSTA) scheme inspired by techniques from online learning. The preliminary results show that our new scheme significantly outperforms the-state-of-the-art baselines.",2018,,10.1109/DCOSS.2018.00024
397,"Zhang, Yuhui and Li, Ming and Yang, Dejun and Tang, Jian and Xue, Guoliang and Xu, Jia",Tradeoff Between Location Quality and Privacy in Crowdsensing: An Optimization Perspective,Privacy;Crowdsensing;Degradation;Optimization;Perturbation methods;Sensors;Approximation algorithms;Crowdsensing;location data quality;location privacy;k-anonymity,"Crowdsensing enables a wide range of data collection, where the data are usually tagged with private locations. Protecting users' location privacy has been a central issue. The study of various location perturbation techniques, e.g., k-anonymity, for location privacy has received widespread attention. Despite the huge promise and considerable attention, provable good algorithms considering the tradeoff between location privacy and location information quality from the optimization perspective in crowdsensing are lacking in the literature. In this article, we study two related optimization problems from two different perspectives. The first problem is to minimize the location quality degradation caused by the protection of users' location privacy. We present an efficient optimal algorithm OLoQ for this problem. The second problem is to maximize the number of protected users, subject to a location quality degradation constraint. To satisfy the different requirements of the platform, we consider two cases for this problem: 1) overlapping and 2) nonoverlapping perturbations. For the former case, we give an efficient optimal algorithm OPUMO. For the latter case, we first prove its NP-hardness. We then design a (1-E)-approximation algorithm NPUMN and a fast and effective heuristic algorithm HPUMN. Extensive simulations demonstrate that OLoQ, OPUMO, and HPUMN significantly outperform an existing algorithm.",2020,,10.1109/JIOT.2020.2972555
398,"Yan, Cairong and Song, Yalong and Wang, Jian and Guo, Wenjing",Eliminating the Redundancy in MapReduce-Based Entity Resolution,Redundancy;Computational modeling;Accuracy;Big data;Parallel processing;Time complexity;Conferences;entity resolution;MapReduce;blocking;redundancy elimination,"Entity resolution is the basic operation of data quality management, and the key step to find the value of data. The parallel data processing framework based on MapReduce can deal with the challenge brought by big data. However, there exist two important issues, avoiding redundant pairs led by the multi-pass blocking method and optimizing candidate pairs based on the transitive relations of similarity. In this paper, we propose a multi-signature based parallel entity resolution method, called multi-sig-er, which supports unstructured data and structured data. Two redundancy elimination strategies are adopted to prune the candidate pairs and reduce the number of similarity computation without affecting the resolution accuracy. Experimental results on real-world datasets show that our method tends to handle large datasets and it is more suitable for complex similarity computation than simple object matching.",2015,,10.1109/CCGrid.2015.24
399,"Guo, Wenzhong and Zhu, Weiping and Yu, Zhiyong and Wang, Jiangtao and Guo, Bin",A Survey of Task Allocation: Contrastive Perspectives From Wireless Sensor Networks and Mobile Crowdsensing,Sensors;Task analysis;Wireless sensor networks;Resource management;Data integrity;Wireless communication;Mobile handsets;Mobile crowdsensing (MCS);task allocation;wireless sensor networks (WSNs),"Wireless sensor networks (WSNs) and mobile crowdsensing (MCS) are two important paradigms in urban dynamic sensing. In both sensing paradigms, task allocation is a significant problem, which may affect the completion quality of sensing tasks. In this paper, we give a survey of task allocation in WSNs and MCS from the contrastive perspectives in terms of data quality and sensing cost, which help to better understand related objectives and strategies. We first analyze the different characteristics of two sensing paradigms, which may lead to difference in task allocation issues or strategies. Then, we present some common issues in task allocation with objectives in data quality and sensing cost. Furthermore, we provide reviews of unique task allocation issues in MCS according to its new characteristics. Finally, we identify some potential opportunities for the future research.",2019,,10.1109/ACCESS.2019.2896226
400,"Francis, Akindipe Olusegun and Emmanuel, Bugingo and Zhang, Defu and Zheng, Wei and Qin, Yingsheng and Zhang, Dongzhan",Exploration of Secured Workflow Scheduling Models in Cloud Environment: A Survey,Cloud computing;Security;Task analysis;Processor scheduling;Quality of service;Scheduling;Computational modeling;cloud computing;workflow scheduling;security;survey,"Cloud computing (CC) is a useful tool for executing complex applications. As a result of this, it has become so popular and used in diverse domains such as science, engineering, medicine. etc. CC structure is composed of a number of virtual machines(VMs) provisioned on demand and charged on a ""Pay-as-you-go"" basis, it is deployed in different form of access levels. Complex applications needed to be executed on clouds are represented as workflows. Workflow scheduling (WS) is one of the most important concepts in cloud computing. WS model contributes to minimizing cost, makespan and energy as well as maximize the quality of service(QoS) of applications in clouds. Despite the security constraints set by each provider, CC has become so critical due to the considerations of applications with sensitive intermediate data, this thereby requires a security level known as Secured workflow Scheduling(SWS). This security is on the level of executing workflows. It indicates that applications with sensitive interdependent data have to be protected during their execution across different cloud VMs. The addition of security in workflow execution generates time overhead, making it complex to meet up with the QoS required by the users. Some research works have proposed algorithms for providing the QoS requirements and security at the same time. In this work, we survey some existing works, by defining the factors needed in securing workflows during execution, clarifying the domains for security, sources of security threats and their solutions as well as cloud computing services that needs security and lastly classify the proposed algorithm depending cloud computing components.",2018,,10.1109/CBD.2018.00022
401,"Wu, Junhang and Hu, Ruimin and Li, Dengshi and Xiao, Yilin and Ren, Lingfei and Hu, Wenyi",Multi-network Embedding for Missing Point-of-Interest Identification,Social networking (online);Data integrity;Predictive models;Task analysis;Tuning;Context modeling;location-based social networks (LBSNs);missing POI identification;multi-network embedding,"The large volume of data flowing throughout location-based social networks (LBSNs) provides an opportunity for human mobility behavior understanding and prediction. However, data quality issues (e.g., historical check-in POI missing, data sparsity) limit the effectiveness of existing LBSN-oriented studies, e.g., Point-of-Interest (POI) recommendation or prediction. Contrary to previous efforts in next POI recommendation or prediction, we focus on identifying the missing POI which the user has visited at a past specific time and proposed a multi-network Embedding (MNE) method. Specifically, the model jointly captures temporal cyclic effect, user preference and sequence transition influence in a unified way by embedding five relational information graphs into a shared dimensional space from both POI- and category-instance levels. The proposed model also incorporates region-level spatial proximity to explore geographical influence, and derives the ranking score list of candidates for missing POI identification. We conduct extensive experiments to evaluate the performance of our model on two real large-scale datasets, and the experimental results show its superiority over other competitors. Significantly, it also proves that the proposed model can be naturally transferred to general next POI recommendation and prediction tasks with competitive performances.",2021,,10.1109/ISPA-BDCloud-SocialCom-SustainCom52081.2021.00189
402,"Liang, Zilu and Chapa Martell, Mario Alberto",Achieving Accurate Ubiquitous Sleep Sensing with Consumer Wearable Activity Wristbands Using Multi-class Imbalanced Classification,Sleep;Training;Machine learning algorithms;Classification algorithms;Standards;Vegetation;Heart rate;wearable;data quality;sleep;machine learning;Fitbit,"Consumer activity wristbands such as Fitbit provide an affordable method for ubiquitous sleep sensing in daily settings. These devices are also increasingly used in scientific studies as measurement tools of sleep outcomes. Nevertheless, the accuracy of Fitbit has raised wide concern. In this paper, we explore the feasibility of applying machine learning to improve the quality of Fitbit sleep data. The problem of interest was formulated into a multiclass imbalanced classification problem. We examined the performance of different combinations of seven machine learning algorithms and three resampling techniques. The preliminary results showed that the accuracy in detecting wakefulness and light sleep was improved by up to 43% and 44% respectively compared to the proprietary algorithm of Fitbit. Our future work will focus on improving the overall accuracy of the classification models in detecting all sleep stages.",2019,,10.1109/DASC/PiCom/CBDCom/CyberSciTech.2019.00143
403,"Gowsalya, M and Krushitha, K and Valliyammai, C",Predicting the risk of readmission of diabetic patients using MapReduce,Atmospheric measurements;Particle measurements;Diabetes;Sociology;Statistics;Artificial neural networks;Big data;Healthcare;Predictive analytics;Diabetes,"From the banking to retail, many sectors have already embraced big data regardless of whether the information comes from public or private sources. In the clinical sphere, the amount of patient data has grown exponentially because of computer based information systems. E-Health monitoring applications have some particularities concerning the importance on data quality. This paper presents a novel solution using Hadoop Mapreduce to analyze large datasets and extract useful insights from the dataset which helps doctors to effectively allocate resources. The successful healthcare delivery and planning strongly rely on data (e.g. sensed data, diagnosis, administration information); the higher quality of the data, the better will be the patient assistance. The applications are also particularly exposed to a contextual environment (i.e., patient's mobility, communication technologies, performance, information heterogeneity, etc.) that has an important impact on information management and application achievement. The main objective of our system is to predict the risk of diabetic patients for readmission in the next 30 days by measuring the probability using MapReduce. This risk score helps the physicians in recommending appropriate care for the patients.",2014,,10.1109/ICoAC.2014.7229729
404,"Hu, Pan and Gu, Hailin and Qi, Jun and Gao, Qiang and Xia, Yu and Qu, Ruiting",Design of two-stage federal learning incentive mechanism under specific indicators,Analytical models;Biological system modeling;Games;Machine learning;Nash equilibrium;Linear programming;Collaborative work;Federal learning;Incentive mechanism;Stackelberg game;Nash equilibrium;Specific indicators,"As a privacy-focused distributed machine learning, federated learning can not only train models effectively but also prevent data sets from being leaked easily. However, like crowdsensing perception and other technologies, participants often lack the motivation to learn and the quality of participation is not high. Therefore, this paper mainly designs a two-stage federal learning incentive mechanism based on the Stackelberg game model under a specific model accuracy index. Firstly, we combine data quality and data quantity to construct a federal learning incentive mechanism model under specific indicators. Then, we conduct a two-stage Stackelberg game analysis on the incentive mechanism model based on the utility function construction of the server platform and data island. In the first stage, the platform server is the leader and the data island is the follower. The second stage is a Nash equilibrium game between data islands. Finally, we construct the objective function of the server platform and data island, namely utility maximization, deduce the optimal equilibrium solution of the two-stage game, and determine the optimal strategy of the platform server and data island.",2021,,10.1109/BDEIM55082.2021.00103
405,"Huang, Chao and Lin, Mingwei and Chen, Riqing",Probabilistic Linguistic VIKOR Method Based on TODIM for Reliable Participant Selection Problem in Mobile Crowdsensing,"Linguistics;Sensors;Crowdsensing;Task analysis;Decision making;Probabilistic logic;Cloud computing;Mobile crowdsensing, Probabilistic linguistic term set, Participants ranking, TODIM, VIKOR","In the mobile crowdsensing systems, the participants of great variety and diversity voluntarily submit their sensing data. Evaluating the participants and ranking them is a critical problem that should be solved to ensure the data quality. In this paper, we introduce the concept of probabilistic linguistic term sets (PLTSs) to model the group preference information during the process of ranking candidate participants and then propose novel VIKOR methods based on TODIM for solving the process of ranking reliable participants and selecting the best one in the mobile crowdsensing system. This proposed methods combine the advantages from the VIKOR method and TODIM method. To show the implementation process of evaluating participants and selecting the best one under the PLTS information context, a practical case is given to verify the feasibility of the proposed methods. Compared with the existing decision making methods, the proposed methods show their effectiveness.",2019,,10.1109/ISPA-BDCloud-SustainCom-SocialCom48970.2019.00108
406,"Caihong, Zhou and Zengyuan, Wu and Chang, Liu",A Study on Quality Prediction for Smart Manufacturing Based on the Optimized BP-AdaBoost Model,smart manufacturing;big data;quality prediction;BP neural network;AdaBoost algorithm;BP-AdsysBoost model,"To accurately predict the product quality in smart manufacturing, this paper designs the BP-AdsysBoost model on the basis of BP neural network and AdaBoost algorithm. The BP-AdsysBoost model considers both the data characteristics and the technology advantages, which pays more attentions to the unqualified products wrongly predicted. To further examine the model, the 110560 data of smart manufacturing from German BOSCH company is used for this research. The proposed BP-AdsysBoost model is compared with the BP neural network and the unmodified BP-AdaBoost model according to prediction performance. The results show that the BP-AdsysBoost model has significant advantages in prediction accuracy and FDR, which proves its satisfied prediction ability for product quality in smart manufacturing.",2019,,10.1109/SMILE45626.2019.8965303
407,"Zhang, Jinkui and Zhu, Yongxin and Shi, Weiwei and Sheng, Gehao and Chen, Yufeng",An Improved Machine Learning Scheme for Data-Driven Fault Diagnosis of Power Grid Equipment,Fault diagnosis;Principal component analysis;Accuracy;Power grids;Correlation;Power transformers;Correlation coefficient;transformer fault diagnosis;PCC;PCA;BPNN,"In recent power grid systems, data-driven approach has been taken to grid condition evaluation and classification after successful adoption of big data techniques in internet applications. However, the raw training data from single monitoring system, e.g. dissolved gas analysis (DGA), are rarely sufficient for training in the form of valid instances and the data quality can rarely meet the requirement of precise data analytics since raw data set usually contains samples with noisy data. This paper proposes a machine learning scheme (PCA_IR) to improve the accuracy of fault diagnose, which combines dimension-increment procedure based on association analysis, dimension-reduction procedure based on principal component analysis and back propagation neural network (BPNN). First, the dimension of training data is increased by adding selected data which originates from different source such as production management system (PMS) to the original data obtained by DGA. The added data would also inevitably result in more noise. Thus, we then take advantage of the PCA method to reduce the noise in the training data as well as retaining significant information for classification. Finally, the new training data yielded after PCA procedure is inputted into BPNN for classification. We test the PCA_IR scheme on fault diagnosis of power transformers in power grid system. The experimental results show that the classifiers based on our scheme achieve higher accuracy than traditional ones. Therefore, the scheme PCA_IR would be successfully deployed for fault diagnosis in power grid system.",2015,,10.1109/HPCC-CSS-ICESS.2015.236
408,"Dai, Minghui and Su, Zhou and Wang, Yuntao and Xu, Qichao",Contract Theory Based Incentive Scheme for Mobile Crowd Sensing Networks,Sensors;Contracts;Task analysis;Conferences;Big Data;Edge computing;Smart cities;Mobile crowd sensing;trust scheme;optimal contract,"Mobile crowd sensing networks (MCSNs) have emerged as a promising paradigm to provide various sensing services. With the increasing number of mobile users, how to develop an effective scheme to provide the high-quality and secure sensing data becomes a new challenge. In this paper, we propose a contract theory based scheme to provide sensing service in MCSNs. At first, with the analysis of the interaction experience between the crowd sensing platform and mobile user, a trust scheme is introduced to guarantee the quality of sensing data by considering the direct trust and indirect trust. Next, according to the transaction between crowd sensing platform and mobile user, an optimal contract based on incentive scheme is designed to stimulate mobile users to participate in crowd sensing network, where the contract item can not only maximize the platform utility, but also satisfy individual rationality and incentive compatibility. Finally, the numerical results show that the proposal outperforms the conventional schemes.",2018,,10.1109/MoWNet.2018.8428903
409,"Shi, Jingyi and Zheng, Mingna and Yao, Lixia and Ge, Yaorong",A Publication-Based Popularity Index (PPI) for Healthcare Dataset Ranking,Medical services;Market research;Indexes;Data integrity;Informatics;Histograms;Software;popularity index;healthcare dataset;data quality;quantified measurement;regression,"Data are critical in this age of big data and machine learning. Due to their inherent complexity, health-related data are unique in that the datasets are usually acquired for specific purposes and with special designs. As more and more healthcare datasets become available, of which many are public, choosing a quality dataset that is suitable for specific research inquiries is becoming a challenging question for health informatics researchers, especially the learners of this field. On the other hand, from the data provider's perspective, it is important to identify features of datasets that make some datasets more valuable than others so as to improve the design and acquisition of future datasets. To address these questions, we need to develop formal mechanisms to measure the goodness of datasets according to certain criteria. In this study, we propose one way of measuring the value of healthcare datasets that is based on how often the datasets are used and reported by researchers, which we call the Publication-based Popularity Index (PPI). In this article, we describe the design of the PPI and discuss its properties. We demonstrate the utility of the PPI by ranking 14 representative healthcare datasets. We believe that the PPI can enable an overall ranking of all healthcare datasets and thus provide an important dimension to sort search results for dataset integration systems as well as a starting point for identifying and examining the design of the most valuable healthcare datasets so that features of these datasets can inform future designs.",2018,,10.1109/ICHI.2018.00035
410,"Zheng, Liwei",AMD Based Service Agent Collaboration and Specification,Collaboration;Ontologies;Dynamic scheduling;Vectors;Web services;Multi-Agent;Collaboration;Mechanism design,"With the emergence of Big Data in Internet, composing existing web services for satisfying new requirements, such as data quality enhancing, effective data choosing, knowledge discovering etc, has gained daily expanding attentions and interests. Many efforts have been pursued for supporting the essential activities in service composition. However, the existing techniques only focus on passive services which are waiting there for being discovered and invoked. We argue that it might be more attractive when Web services become active entities (Service Agent) distributed in Internet which can recognize the newly emergent requirements and compete with others for realize (part of) the requirements. Retreating or refinement of Big data will hardly be accomplished by one or two data handling center, Service Agent collaboration would be a competitive method for the big data handling problem. Mostly more than one service agents have to collaborate to satisfy requirements in current internet environment especially with social networks. That could be called as the requirement driven agent collaboration. Research on such collaboration might be useful for the previous problem. We have given a preliminary model for the requirement driven agent collaboration based on a function ontology and the automated mechanism design in the earlier work. This paper extended the Function Ontology, and enhanced the AMD model. That makes the interactions in MAS generated by agent collaboration can be described. A negotiation frame for the evaluation and choice of collaboration solutions is also given in this paper. It helps the requester evaluate the possible MAS systems, and helps the service agents make decisions to choose a good enough solution by negotiation. According to the dependencies provided in Function Ontology, a specification is given to describe the execution process of the chosen MAS. And also a method is given to translate the specification to BPEL which is more standard, acceptable, and easier to understood.",2013,,10.1109/HPCC.and.EUC.2013.327
411,"Xiong, Jinbo and Chen, Xiuhua and Tian, Youliang and Ma, Rong and Chen, Lei and Yao, Zhiqiang",MAIM: A Novel Incentive Mechanism Based on Multi-Attribute User Selection in Mobile Crowdsensing,Sensors;Task analysis;Analytic hierarchy process;Training;Technological innovation;Data integrity;Simulation;Mobile crowdsensing;incentive mechanism;analytic hierarchy process;multi-attribute user selection;participation intention analysis,"In the user selection phase of mobile crowdsensing, most existing incentive mechanisms focus on either single-attribute selection or random selection, which possibly lead to serious consequences such as low user enthusiasm, decreased task completion rate, and increased cost of platform consumption. To tackle these issues, in this paper, we propose a novel incentive mechanism MAIM, which is based on multi-attribute user selection and participation intention analysis function in mobile crowdsensing. In this mechanism, the sensing platform employs the analytic hierarchy process to determine the weights of three attributes: participation threshold, cost, and reputation. The weight calculation results of each sensing user with respect to each attribute are then integrated to obtain the sorted weight of each user, with which the sensing platform will then obtain the optimal user set. From the users' perspective, they can autonomously decide whether to accept task processing requests, as enabled by the participation intention analysis function, thereby voiding the absolute authority and control of the sensing platform over users and achieving a two-way selection between the sensing platform and the sensing users. Furthermore, the sensing platform establishes a score-based reputation reward to inspire active performers and utilizes a punishment mechanism to overawe malicious vandals, which substantially helps activize enthusiasm of user participation and improve sensing data quality. Simulation results indicate that the proposed MAIM has significantly improved the sensing task completion ratio and the budget surplus ratio compared with the existing incentive mechanisms in mobile crowdsensing.",2018,,10.1109/ACCESS.2018.2878761
412,"Zhao, Lixia and Jin, Wei",Analysis on the Design and Implementation of the Metadata Management Model in the Cloud Computing Business Intelligence Platform,Analytical models;Renewable energy sources;Codes;Databases;Computational modeling;Data integrity;Metadata;Metadata Management Model;Cloud Computing;Physical Business Intelligence Platform;Big Data,"Through the method of metadata management development, it can give full play to its advantages and make up for its disadvantages. In order to fully grasp the composition, conversion, analysis and processing process of data in the platform, from metadata sources, metadata scope, metadata classification, metadata users, metadata integration project development methods, metadata models and metadata standards, metadata management the implementation of the system and other aspects expounded the metadata management strategy in the business intelligence system. Effective metadata management has increased the usability of the platform by 5.6% and the data quality of the platform by 7.8%.",2022,,10.1109/ICEARS53579.2022.9752191
413,"Wiktorski, Tomasz and Hacker, Thomas and Hansen, Raymond A. and Rodgers, Gregory",Experience with Problem-Based Learning in a Hybrid Classroom,Cloud computing;Computer science;Big data;Computers;Education;Virtual machining;problem-based learning;constructive alignment;data intensive systems;data science,"Constructive alignment has been shown to elicit higher levels of learning among students. Problem-based Learning is one of the forms of constructive alignment often used in medicine and engineering education. We have applied a PBL-based approach to a graduate (master) course in Data Intensive Systems taught simultaneously through a video link at two universities in Europe and USA. Application of standardized measuring methodology shows inconclusive impact of PBL approach on students' learning. We present survey results and analyze major factors that could have lead to inconclusive result, including: low data quality, general applicability of constructivism in computer science, and issues with hybrid classroom and alternative laboratory environments. Finally, we discuss reversed classroom method as a potential solution to the issues encountered.",2015,,10.1109/CloudCom.2015.70
414,"Zhang, Xuejun and Chen, Qian and Peng, Xiaohui and Jiang, Xinlong",Differential Privacy-Based Indoor Localization Privacy Protection in Edge Computing,"Privacy;Training;Fingerprint recognition;Edge computing;Cloud computing;Indoor localization, Differential privacy, Privacy preserving, Edge computing.","With the popularity of smart devices and the widespread use of the Wi-Fi-based indoor localization, edge computing is becoming the mainstream paradigm of processing massive sensing data to acquire indoor localization service. However, these data which were conveyed to train the localization model unintentionally contain some sensitive information of users/devices, and were released without any protection may cause serious privacy leakage. To solve this issue, we propose a lightweight differential privacy-preserving mechanism for the edge computing environment. We extend ε-differential privacy theory to a mature machine learning localization technology to achieve privacy protection while training the localization model. Experimental results on multiple real-world datasets show that, compared with the original localization technology without privacy-preserving, our proposed scheme can achieve high accuracy of indoor localization while providing differential privacy guarantee. Through regulating the value of ε, the data quality loss of our method can be controlled up to 8.9% and the time consumption can be almost negligible. Therefore, our scheme can be efficiently applied in the edge networks and provides some guidance on indoor localization privacy protection in the edge computing.",2019,,10.1109/SmartWorld-UIC-ATC-SCALCOM-IOP-SCI.2019.00125
